dataset,optimizer,budget,phase,seed,final_test_accuracy,best_val_accuracy,final_test_loss,total_seconds,seconds_per_epoch_mean,run_name,run_dir
imdb,adam,default,default,101,0.8764,0.8772,0.28807091775894167,36.80050770001253,3.980075180006679,default_imdb_adam_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed101
imdb,adam,default,default,102,0.8836,0.8768,0.2774063415622711,36.872802099969704,3.984515820001252,default_imdb_adam_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed102
imdb,adam,default,default,103,0.88116,0.8796,0.28444054574012756,36.81009010004345,3.983900279982481,default_imdb_adam_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed103
imdb,adam,default,default,104,0.87776,0.8712,0.2896814162397385,36.855204200022854,3.989685380004812,default_imdb_adam_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed104
imdb,adam,default,default,105,0.86376,0.866,0.31462871523857117,36.82874139997875,3.98931813997915,default_imdb_adam_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed105
imdb,adamw,default,default,101,0.87896,0.876,0.28644628685474394,37.18608730001142,4.051555120013655,default_imdb_adamw_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adamw_seed101
imdb,adamw,default,default,102,0.88108,0.8784,0.2786073517513275,37.3037253000075,4.050911279977299,default_imdb_adamw_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adamw_seed102
imdb,adamw,default,default,103,0.88224,0.8796,0.28134654164791106,37.14737589994911,4.064552839996759,default_imdb_adamw_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adamw_seed103
imdb,adamw,default,default,104,0.87824,0.8752,0.28934788646697995,37.52144629997201,4.085596960014664,default_imdb_adamw_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adamw_seed104
imdb,adamw,default,default,105,0.86228,0.8668,0.3175146212863922,37.459039999987,4.06485630000243,default_imdb_adamw_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adamw_seed105
imdb,rmsprop,default,default,101,0.84276,0.8504,0.37363379667282104,36.093937000026926,3.840223880019039,default_imdb_rmsprop_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_rmsprop_seed101
imdb,rmsprop,default,default,102,0.86968,0.8652,0.3069297858333588,36.15629999997327,3.8432289000134916,default_imdb_rmsprop_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_rmsprop_seed102
imdb,rmsprop,default,default,103,0.87496,0.868,0.29725999980926515,36.2180679999874,3.8557604799978433,default_imdb_rmsprop_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_rmsprop_seed103
imdb,rmsprop,default,default,104,0.86528,0.8616,0.31790475847244265,36.10968900000444,3.8428217800101265,default_imdb_rmsprop_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_rmsprop_seed104
imdb,rmsprop,default,default,105,0.85444,0.8568,0.34186277565002443,36.13452540000435,3.839385480014607,default_imdb_rmsprop_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_rmsprop_seed105
imdb,sgd,default,default,101,0.5,0.514,,36.08715229999507,3.734234839992132,default_imdb_sgd_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed101
imdb,sgd,default,default,102,0.5,0.514,,35.6919769999804,3.7068503199960103,default_imdb_sgd_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed102
imdb,sgd,default,default,103,0.5,0.514,,36.30351330002304,3.7870308599900455,default_imdb_sgd_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed103
imdb,sgd,default,default,104,0.5,0.514,,37.34982730000047,3.918827680009417,default_imdb_sgd_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed104
imdb,sgd,default,default,105,0.5,0.514,,37.84629799996037,3.8048830399871805,default_imdb_sgd_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed105
imdb,adam,small_tuned,rerun,101,0.88184,0.8792,0.29566491358280184,48.75686299998779,4.338854700000956,rerun_small_tuned_imdb_adam_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_adam_seed101
imdb,adam,small_tuned,rerun,102,0.87352,0.8736,0.30619390962600707,47.92702320002718,4.330284920008853,rerun_small_tuned_imdb_adam_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_adam_seed102
