batch_size,best_epoch_by_val_accuracy,best_epoch_test_accuracy,best_val_accuracy,budget,data_seed,dataset,dataset_id,device,epochs,final_test_accuracy,final_test_loss,max_len,optimizer,phase,run_dir,run_name,seconds_per_epoch_mean,seed,test_size,total_seconds,train_size,validation_size,vocab_size
64,1,0.5,0.514,default,13,imdb,stanfordnlp/imdb,cuda,5,0.5,nan,512,sgd,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed101,default_imdb_sgd_seed101,3.734234839992132,101,25000,36.08715229999507,22500,2500,45104
64,1,0.5,0.514,default,13,imdb,stanfordnlp/imdb,cuda,5,0.5,nan,512,sgd,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed102,default_imdb_sgd_seed102,3.7068503199960103,102,25000,35.6919769999804,22500,2500,45104
64,1,0.5,0.514,default,13,imdb,stanfordnlp/imdb,cuda,5,0.5,nan,512,sgd,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed103,default_imdb_sgd_seed103,3.7870308599900455,103,25000,36.30351330002304,22500,2500,45104
64,1,0.5,0.514,default,13,imdb,stanfordnlp/imdb,cuda,5,0.5,nan,512,sgd,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed104,default_imdb_sgd_seed104,3.918827680009417,104,25000,37.34982730000047,22500,2500,45104
64,1,0.5,0.514,default,13,imdb,stanfordnlp/imdb,cuda,5,0.5,nan,512,sgd,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_sgd_seed105,default_imdb_sgd_seed105,3.8048830399871805,105,25000,37.84629799996037,22500,2500,45104
64,5,0.8764,0.8772,default,13,imdb,stanfordnlp/imdb,cuda,5,0.8764,0.28807091775894167,512,adam,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed101,default_imdb_adam_seed101,3.980075180006679,101,25000,36.80050770001253,22500,2500,45104
64,5,0.8836,0.8768,default,13,imdb,stanfordnlp/imdb,cuda,5,0.8836,0.2774063415622711,512,adam,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed102,default_imdb_adam_seed102,3.984515820001252,102,25000,36.872802099969704,22500,2500,45104
64,5,0.88116,0.8796,default,13,imdb,stanfordnlp/imdb,cuda,5,0.88116,0.28444054574012756,512,adam,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed103,default_imdb_adam_seed103,3.983900279982481,103,25000,36.81009010004345,22500,2500,45104
64,5,0.87776,0.8712,default,13,imdb,stanfordnlp/imdb,cuda,5,0.87776,0.2896814162397385,512,adam,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed104,default_imdb_adam_seed104,3.989685380004812,104,25000,36.855204200022854,22500,2500,45104
64,5,0.86376,0.866,default,13,imdb,stanfordnlp/imdb,cuda,5,0.86376,0.31462871523857117,512,adam,default,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\default_imdb_adam_seed105,default_imdb_adam_seed105,3.98931813997915,105,25000,36.82874139997875,22500,2500,45104
