best_val_accuracy,budget,dataset,dropout,final_test_accuracy,lr,momentum,optimizer,phase,run_dir,run_name,seed,total_seconds,trial,weight_decay
0.542,small_tuned,imdb,0.5536479181745187,0.5,0.0020965295905274093,0.0,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial001_seed101,tune_imdb_sgd_trial001_seed101,101,36.98141360003501,1,3.623377338919152e-05
0.514,small_tuned,imdb,0.4191245819401792,0.5,0.26005045374738617,0.9,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial002_seed101,tune_imdb_sgd_trial002_seed101,101,36.12579190003453,2,1.2678701610728408e-05
0.514,small_tuned,imdb,0.3764379985330524,0.5,0.09369206855528245,0.9,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial003_seed101,tune_imdb_sgd_trial003_seed101,101,36.26234780001687,3,0.0005690229604198776
0.548,small_tuned,imdb,0.5267045411409486,0.5,0.001015877777385422,0.5,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial004_seed101,tune_imdb_sgd_trial004_seed101,101,37.84443980001379,4,0.0
0.828,small_tuned,imdb,0.3256932503289719,0.83516,0.016353281228575118,0.9,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial005_seed101,tune_imdb_sgd_trial005_seed101,101,37.77292800002033,5,0.0002666185347276668
0.7404,small_tuned,imdb,0.5220543604384198,0.75756,0.011805322449649245,0.5,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial006_seed101,tune_imdb_sgd_trial006_seed101,101,36.15306270000292,6,0.009875200262687754
0.514,small_tuned,imdb,0.23586598800853054,0.5,0.4989326136828701,0.5,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial007_seed101,tune_imdb_sgd_trial007_seed101,101,36.039324300014414,7,2.40768410338637e-07
0.822,small_tuned,imdb,0.5505899239921421,0.82304,0.028328301813956985,0.0,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial008_seed101,tune_imdb_sgd_trial008_seed101,101,34.96552999998676,8,0.0
0.514,small_tuned,imdb,0.34753784049612946,0.5,0.0794344457582428,0.9,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial009_seed101,tune_imdb_sgd_trial009_seed101,101,36.157524599984754,9,1.3295249991209444e-07
0.7804,small_tuned,imdb,0.42177961319224555,0.7106,0.017555811465038672,0.9,sgd,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_sgd_trial010_seed101,tune_imdb_sgd_trial010_seed101,101,35.60438229999272,10,0.0
0.8516,small_tuned,imdb,0.5467018949990428,0.8592,0.003996463476124038,0.0,adam,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_adam_trial001_seed101,tune_imdb_adam_trial001_seed101,101,37.744469599972945,1,0.001029784244242517
0.8792,small_tuned,imdb,0.5377910835145895,0.88184,0.004229610429138145,0.0,adam,tuning,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\tune_imdb_adam_trial002_seed101,tune_imdb_adam_trial002_seed101,101,37.72730189998401,2,4.200138097015516e-05
